t,bytes_rate,connection_rate,anomaly_score,V,dVdt,risk,action,authorized
0.44,10227.272727272728,102.27272727272727,0.0,5282.153925619835,-546.1001367725653,low,pass,True
0.45,10222.222222222223,102.22222222222221,0.0,5276.938271604939,-521.565401489624,low,pass,True
0.46,10217.391304347826,102.17391304347825,0.0,5271.95179584121,-498.6475763728772,low,pass,True
0.47000000000000003,10212.765957446807,102.12765957446808,0.0,5267.179719330012,-477.20765111980614,low,pass,True
0.48,10208.333333333334,102.08333333333334,0.0,5262.608506944446,-457.121238556558,low,pass,True
0.49,10204.081632653062,102.04081632653062,0.0,5258.225739275303,-438.27676691435005,low,pass,True
0.5,10200.0,102.0,0.0,5254.02,-420.57392753022174,low,pass,True
0.51,10196.078431372549,101.96078431372548,0.0,5249.980776624374,-403.92233756265307,low,pass,True
0.52,10192.307692307691,101.92307692307692,0.0,5246.098372781065,-388.2403843308563,low,pass,True
0.53,10188.679245283018,101.88679245283018,0.0,5242.363830544677,-373.45422363887303,low,pass,True
0.54,10185.185185185184,101.85185185185185,0.0,5238.768861454047,-359.49690906299986,low,pass,True
0.55,10181.81818181818,101.81818181818181,0.0,5235.305785123965,-346.30763300820007,low,pass,True
0.56,10178.571428571428,101.78571428571428,0.0,5231.967474489796,-333.8310634168917,low,pass,True
0.5700000000000001,10175.438596491227,101.75438596491227,0.0,5228.74730686365,-322.0167626145664,low,pass,True
0.58,10172.41379310345,101.72413793103449,0.0,5225.639120095126,-310.81867685243515,low,pass,True
0.59,10169.49152542373,101.69491525423729,0.0,5222.637173226084,-300.19468690416005,low,pass,True
0.6,10166.666666666668,101.66666666666667,0.0,5219.736111111113,-290.1062114970952,low,pass,True
0.61,10163.934426229509,101.63934426229508,0.0,5216.930932545015,-280.5178566098218,low,pass,True
0.62,10161.290322580646,101.61290322580645,0.0,5214.21696149844,-271.397104657535,low,pass,True
0.63,10158.730158730159,101.58730158730158,0.0,5211.589821113632,-262.7140384807715,low,pass,True
0.64,10156.25,101.5625,0.0,5209.04541015625,-254.441095738184,low,pass,True
0.65,10153.846153846154,101.53846153846153,0.0,5206.579881656806,-246.55284994441877,low,pass,True
0.66,10151.51515151515,101.51515151515152,0.0,5204.189623507804,-239.02581490019637,low,pass,True
0.67,10149.253731343282,101.49253731343283,0.0,5201.8712408108695,-231.8382696934348,low,pass,True
0.68,10147.05882352941,101.47058823529412,0.0,5199.621539792386,-224.97010184833906,low,pass,True
0.6900000000000001,10144.927536231884,101.44927536231883,0.0,5197.437513127495,-218.40266648914601,low,pass,True
0.7000000000000001,10142.857142857141,101.42857142857142,0.0,5195.316326530611,-212.1186596883488,low,pass,True
0.71,10140.845070422536,101.40845070422536,0.0,5193.255306486809,-206.1020043802294,low,pass,True
0.72,10138.888888888889,101.38888888888889,0.0,5191.2519290123455,-200.33774744633757,low,pass,True
0.73,10136.986301369863,101.36986301369863,0.0,5189.303809345093,-194.8119667252284,low,pass,True
0.74,10135.135135135135,101.35135135135135,0.0,5187.4086924762605,-189.51168688327,low,pass,True
0.75,10133.333333333334,101.33333333333333,0.0,5185.564444444446,-184.42480318144572,low,pass,True
0.76,10131.578947368422,101.3157894736842,0.0,5183.7690443213305,-179.540012311554,low,pass,True
0.77,10129.870129870129,101.2987012987013,0.0,5182.020576825771,-174.84674955594514,low,pass,True
0.78,10128.205128205127,101.28205128205128,0.0,5180.317225509532,-170.3351316238694,low,pass,True
0.79,10126.582278481012,101.26582278481013,0.0,5178.657266463707,-165.99590458254156,low,pass,True
0.8,10125.0,101.25,0.0,5177.0390625,-161.8203963706945,low,pass,True
0.81,10123.456790123457,101.23456790123456,0.0,5175.461057765585,-157.80047344151157,low,pass,True
0.8200000000000001,10121.951219512195,101.21951219512195,0.0,5173.921772754313,-153.9285011272112,low,pass,True
0.8300000000000001,10120.481927710842,101.20481927710843,0.0,5172.419799680648,-150.1973073664884,low,pass,True
0.84,10119.04761904762,101.19047619047619,0.0,5170.953798185942,-146.6001494705794,low,pass,True
0.85,10117.64705882353,101.17647058823529,0.0,5169.522491349482,-143.1306836459952,low,pass,True
0.86,10116.279069767443,101.16279069767442,0.0,5168.124661979449,-139.7829370032922,low,pass,True
0.87,10114.942528735632,101.14942528735632,0.0,5166.759149161051,-136.55128183982004,low,pass,True
0.88,10113.636363636364,101.13636363636364,0.0,5165.424845041322,-133.43041197285845,low,pass,True
0.89,10112.359550561798,101.12359550561797,0.0,5164.1206918318385,-130.41532094839556,low,pass,True
0.9,10111.111111111111,101.11111111111111,0.0,5162.8456790123455,-127.50128194929846,low,pass,True
0.91,10109.89010989011,101.0989010989011,0.0,5161.598840719719,-124.68382926263064,low,pass,True
0.92,10108.695652173912,101.08695652173913,0.0,5160.379253308128,-121.95874115914182,low,pass,True
0.93,10107.526881720429,101.07526881720429,0.0,5159.186033067405,-119.32202407224385,low,pass,True
0.9400000000000001,10106.382978723404,101.06382978723404,0.0,5158.018334087823,-116.76989795823819,low,pass,True
0.9500000000000001,10105.263157894737,101.05263157894736,0.0,5156.875346260388,-114.29878274348074,low,pass,True
0.96,10104.166666666668,101.04166666666667,0.0,5155.756293402779,-111.90528576089605,low,pass,True
0.97,10103.092783505155,101.03092783505154,0.0,5154.660431501755,-109.58619010243628,low,pass,True
0.98,10102.040816326531,101.0204081632653,0.0,5153.587047063725,-107.33844380301879,low,pass,True
0.99,10101.0101010101,101.01010101010101,0.0,5152.535455565759,-105.1591497966,low,pass,True
1.0,10600.0,101.0,1.0,5669.005,51646.9544434241,high,observe_only,False
1.01,11111.111111111111,101.01010101010101,1.0,6223.854708703194,55484.970870319325,high,observe_only,False
1.02,11616.161616161617,101.01010101010101,1.0,6797.775737169677,57392.10284664827,high,observe_only,False
1.03,12121.212121212122,101.01010101010101,1.0,7397.204366901337,59942.862973165975,high,observe_only,False
1.04,12626.262626262627,101.01010101010101,1.0,8022.140597898175,62493.62309968368,high,observe_only,False
1.05,13131.31313131313,101.01010101010101,1.0,8672.584430160185,65044.38322620093,high,observe_only,False
1.06,13636.363636363636,101.01010101010101,1.0,9348.53586368738,67595.14335271955,high,observe_only,False
1.07,14141.41414141414,101.010101010101,1.0,10049.994898479745,70145.90347923634,high,observe_only,False
1.08,14646.464646464645,101.010101010101,1.0,10776.96153453729,72696.66360575441,high,observe_only,False
1.09,15151.51515151515,101.010101010101,1.0,11529.435771860013,75247.42373227229,high,observe_only,False
1.1,15656.565656565655,101.010101010101,1.0,12307.417610447912,77798.18385878982,high,observe_only,False
1.11,16161.61616161616,101.010101010101,1.0,13110.907050300988,80348.94398530753,high,observe_only,False
1.12,16666.666666666664,101.010101010101,1.0,13939.904091419237,82899.70411182486,high,observe_only,False
1.1300000000000001,17171.71717171717,101.010101010101,1.0,14794.408733802671,85450.4642383433,high,observe_only,False
1.1400000000000001,17676.767676767675,101.010101010101,1.0,15674.42097745128,88001.22436486083,high,observe_only,False
1.1500000000000001,18181.81818181818,101.010101010101,1.0,16579.940822365064,90551.98449137835,high,observe_only,False
1.16,18600.000000000004,101.00000000000001,1.0,17349.005000000005,76906.41776349567,high,observe_only,False
1.17,19100.000000000004,101.00000000000001,1.0,18291.505000000005,94249.99999999991,high,observe_only,False
1.18,19600.0,101.0,1.0,19259.005,96749.99999999955,high,observe_only,False
1.19,20100.0,101.0,1.0,20251.505,99249.99999999991,high,observe_only,False
1.2,20600.0,101.0,1.0,21269.005,101749.99999999991,high,observe_only,False
1.21,21100.0,101.0,1.0,22311.505,104249.99999999991,high,observe_only,False
1.22,21600.0,101.0,1.0,23379.005,106749.9999999999,high,observe_only,False
1.23,22100.0,101.0,1.0,24471.505,109249.9999999999,high,observe_only,False
1.24,22600.0,101.0,1.0,25589.005,111749.9999999999,high,observe_only,False
1.25,23100.0,101.0,1.0,26731.505,114249.9999999999,high,observe_only,False
1.26,23600.0,101.0,1.0,27899.005,116749.9999999999,high,observe_only,False
1.27,24100.0,101.0,1.0,29091.505,119249.9999999999,high,observe_only,False
1.28,24600.0,101.0,1.0,30309.005,121749.9999999999,high,observe_only,False
1.29,25252.525252525254,101.01010101010101,1.0,31935.516784001637,162651.17840016342,high,observe_only,False
1.3,25757.575757575756,101.01010101010101,1.0,33223.65064789307,128813.38638914301,high,observe_only,False
1.31,26262.62626262626,101.01010101010101,1.0,34537.292113049676,131364.14651566072,high,observe_only,False
1.32,26767.676767676767,101.01010101010101,1.0,35876.44117947148,133914.9066421806,high,observe_only,False
1.33,27272.727272727272,101.01010101010101,1.0,37241.09784715846,136465.66676869759,high,observe_only,False
1.34,27777.777777777777,101.01010101010101,1.0,38631.2621161106,139016.42689521384,high,observe_only,False
1.35,28282.82828282828,101.010101010101,1.0,40046.93398632792,141567.18702173154,high,observe_only,False
1.36,28787.878787878784,101.010101010101,1.0,41488.11345781041,144117.94714824925,high,observe_only,False
1.37,29292.92929292929,101.010101010101,1.0,42954.800530558095,146668.7072747684,high,observe_only,False
1.3800000000000001,29797.979797979795,101.010101010101,1.0,44446.99520457094,149219.46740128464,high,observe_only,False
1.3900000000000001,30303.0303030303,101.010101010101,1.0,45964.69747984899,151770.22752780453,high,observe_only,False
1.4000000000000001,30808.080808080806,101.010101010101,1.0,47507.90735639221,154320.9876543215,high,observe_only,False
1.41,31100.000000000004,101.00000000000001,1.0,48411.50500000001,90359.76436078246,high,observe_only,False
1.42,31600.0,101.0,1.0,49979.005,156749.9999999984,high,observe_only,False
1.43,32100.0,101.0,1.0,51571.505,159249.99999999985,high,observe_only,False
1.44,32600.0,101.0,1.0,53189.005,161749.99999999985,high,observe_only,False
1.45,33100.0,101.0,1.0,54831.505,164249.99999999985,high,observe_only,False
1.46,33600.0,101.0,1.0,56499.005,166749.99999999985,high,observe_only,False
1.47,34100.0,101.0,1.0,58191.505,169249.99999999985,high,observe_only,False
1.48,34600.0,101.0,1.0,59909.005,171749.99999999985,high,observe_only,False
1.49,35100.0,101.0,1.0,61651.505,174249.99999999985,high,observe_only,False
1.5,35600.0,101.0,1.0,63419.005,176749.99999999985,high,observe_only,False
1.51,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.52,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.53,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.54,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.55,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.56,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.57,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.58,35858.58585858585,101.010101010101,0.0,64342.924191409,92391.91914090034,high,drop,True
1.59,35858.58585858585,101.010101010101,0.0,64342.924191409,0.0,low,pass,True
1.6,35858.58585858585,101.010101010101,0.0,64342.924191409,0.0,low,pass,True
1.61,35858.58585858585,101.010101010101,0.0,64342.924191409,0.0,low,pass,True
1.62,35858.58585858585,101.010101010101,0.0,64342.924191409,0.0,low,pass,True
1.6300000000000001,35858.58585858585,101.010101010101,0.0,64342.924191409,0.0,low,pass,True
1.6400000000000001,35858.58585858585,101.010101010101,0.0,64342.924191409,0.0,low,pass,True
1.6500000000000001,35858.58585858585,101.010101010101,0.0,64342.924191409,0.0,low,pass,True
1.6600000000000001,35858.58585858585,101.010101010101,0.0,64342.924191409,0.0,low,pass,True
1.67,35600.00000000001,101.00000000000001,0.0,63419.00500000002,-92391.91914090021,low,pass,True
1.68,35600.00000000001,101.00000000000001,0.0,63419.00500000002,0.0,low,pass,True
1.69,35600.00000000001,101.00000000000001,0.0,63419.00500000002,0.0,low,pass,True
1.7,35600.00000000001,101.00000000000001,0.0,63419.00500000002,0.0,low,pass,True
1.71,35600.0,101.0,0.0,63419.005,-2.1827872842550257e-09,low,pass,True
1.72,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.73,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.74,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.75,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.76,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.77,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.78,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.79,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.8,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.81,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.82,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.83,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.84,35858.58585858585,101.010101010101,0.0,64342.924191409,92391.91914090034,high,drop,True
1.85,35858.58585858585,101.010101010101,0.0,64342.924191409,0.0,low,pass,True
1.86,35858.58585858585,101.010101010101,0.0,64342.924191409,0.0,low,pass,True
1.87,35858.58585858585,101.010101010101,0.0,64342.924191409,0.0,low,pass,True
1.8800000000000001,35858.58585858585,101.010101010101,0.0,64342.924191409,0.0,low,pass,True
1.8900000000000001,35858.58585858585,101.010101010101,0.0,64342.924191409,0.0,low,pass,True
1.9000000000000001,35858.58585858585,101.010101010101,0.0,64342.924191409,0.0,low,pass,True
1.9100000000000001,35858.58585858585,101.010101010101,0.0,64342.924191409,0.0,low,pass,True
1.92,35600.00000000001,101.00000000000001,0.0,63419.00500000002,-92391.91914090021,low,pass,True
1.93,35600.00000000001,101.00000000000001,0.0,63419.00500000002,0.0,low,pass,True
1.94,35600.00000000001,101.00000000000001,0.0,63419.00500000002,0.0,low,pass,True
1.95,35600.00000000001,101.00000000000001,0.0,63419.00500000002,0.0,low,pass,True
1.96,35600.0,101.0,0.0,63419.005,-2.1827872842550257e-09,low,pass,True
1.97,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.98,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
1.99,35600.0,101.0,0.0,63419.005,0.0,low,pass,True
